date,value
2024-04-09,444.450000
2024-04-10,271.680000
2024-04-11,307.260000
2024-04-12,308.050000
2024-04-13,303.960000
2024-04-14,367.510000
2024-03-15,615.520000
2024-03-17,704.430000
2024-03-18,480.610000
2024-04-15,345.620000
2024-04-16,429.850000
2024-04-17,293.570000
2024-04-18,365.910000
2024-04-19,246.400000
2024-04-20,359.310000
2024-04-21,268.380000
2024-04-22,225.720000
2024-04-23,332.750000
2024-04-24,298.960000
2024-04-25,261.690000
2024-04-26,404.570000
2024-04-27,284.070000
2024-04-28,249.700000
2024-04-29,418.860000
2024-04-30,469.430000
2024-05-01,485.620000
2024-05-02,435.670000
2024-05-03,462.650000
2024-05-04,408.680000
2024-05-05,261.790000
2024-05-06,413.680000
2024-05-07,349.720000
2024-05-08,358.720000
2024-05-09,464.630000
2024-05-10,281.780000
2024-05-11,291.790000
2024-05-12,398.690000
2024-05-13,543.580000
2024-05-14,444.650000
2024-05-15,372.740000
2024-05-16,451.640000
2024-05-17,411.680000
2024-05-18,466.630000
2024-05-19,627.490000
2024-05-20,370.690000
2024-05-21,745.400000
2024-05-22,830.340000
2024-05-23,494.600000
2024-05-24,545.560000
